,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1,dbscan_cluster,x0_2,x1_2
2,"Everyone, please donate any amount that you can. Every bit counts. Thank you!",SGD,5000,77.0,13.0,"['everyone', 'please', 'donate', 'any', 'amount', 'that', 'you', 'can', 'every', 'bit', 'counts', 'thank', 'you']","['everyone', 'please', 'donate', 'any', 'amount', 'that', 'you', 'can', 'every', 'bit', 'count', 'thank', 'you']","['everyon', 'pleas', 'donat', 'ani', 'amount', 'that', 'you', 'can', 'everi', 'bit', 'count', 'thank', 'you']",everyone please donate any amount that you can every bit count thank you,everyon pleas donat ani amount that you can everi bit count thank you,0,-0.037918427275346084,-0.054536232612614706,0,-0.13369326118644045,-0.23039590670242677,0,-0.13369326118644045,-0.23039590670242677
3,This breaks my heart seeing a young baby like this as I have a child too and can’t imagine if he’s my own child 🥺 I hope with the small amount makes a different to you and will keep baby Niyaz in my prayers too🥺,SGD,1000,211.0,45.0,"['this', 'breaks', 'my', 'heart', 'seeing', 'a', 'young', 'baby', 'like', 'this', 'as', 'i', 'have', 'a', 'child', 'too', 'and', 'can', 't', 'imagine', 'if', 'he', 's', 'my', 'own', 'child', 'i', 'hope', 'with', 'the', 'small', 'amount', 'makes', 'a', 'different', 'to', 'you', 'and', 'will', 'keep', 'baby', 'niyaz', 'in', 'my', 'prayers', 'too']","['this', 'break', 'my', 'heart', 'seeing', 'a', 'young', 'baby', 'like', 'this', 'a', 'i', 'have', 'a', 'child', 'too', 'and', 'can', 't', 'imagine', 'if', 'he', 's', 'my', 'own', 'child', 'i', 'hope', 'with', 'the', 'small', 'amount', 'make', 'a', 'different', 'to', 'you', 'and', 'will', 'keep', 'baby', 'niyaz', 'in', 'my', 'prayer', 'too']","['thi', 'break', 'my', 'heart', 'see', 'a', 'young', 'babi', 'like', 'thi', 'as', 'i', 'have', 'a', 'child', 'too', 'and', 'can', 't', 'imagin', 'if', 'he', 's', 'my', 'own', 'child', 'i', 'hope', 'with', 'the', 'small', 'amount', 'make', 'a', 'differ', 'to', 'you', 'and', 'will', 'keep', 'babi', 'niyaz', 'in', 'my', 'prayer', 'too']",this break my heart seeing a young baby like this a i have a child too and can t imagine if he s my own child i hope with the small amount make a different to you and will keep baby niyaz in my prayer too,thi break my heart see a young babi like thi as i have a child too and can t imagin if he s my own child i hope with the small amount make a differ to you and will keep babi niyaz in my prayer too,0,-0.06749651930723626,-0.0300647114087596,0,-0.15158285791030465,0.13351711804395827,-1,-0.15158285791030465,0.13351711804395827
4,My baby is 1 month younger then Niyaz. And I cannot imagine how the family and baby must feel. :( May Allah grant them strength and patience to overcome this test.,SGD,5000,163.0,31.0,"['my', 'baby', 'is', 'month', 'younger', 'then', 'niyaz', 'and', 'i', 'cannot', 'imagine', 'how', 'the', 'family', 'and', 'baby', 'must', 'feel', 'may', 'allah', 'grant', 'them', 'strength', 'and', 'patience', 'to', 'overcome', 'this', 'test']","['my', 'baby', 'is', 'month', 'younger', 'then', 'niyaz', 'and', 'i', 'cannot', 'imagine', 'how', 'the', 'family', 'and', 'baby', 'must', 'feel', 'may', 'allah', 'grant', 'them', 'strength', 'and', 'patience', 'to', 'overcome', 'this', 'test']","['my', 'babi', 'is', 'month', 'younger', 'then', 'niyaz', 'and', 'i', 'cannot', 'imagin', 'how', 'the', 'famili', 'and', 'babi', 'must', 'feel', 'may', 'allah', 'grant', 'them', 'strength', 'and', 'patienc', 'to', 'overcom', 'thi', 'test']",my baby is month younger then niyaz and i cannot imagine how the family and baby must feel may allah grant them strength and patience to overcome this test,my babi is month younger then niyaz and i cannot imagin how the famili and babi must feel may allah grant them strength and patienc to overcom thi test,0,-0.07029364666140325,-0.026579804856617664,0,-0.2165134548630381,0.3054904812298888,-1,-0.2165134548630381,0.3054904812298888
5,Because it is the right thing to do.,SGD,50000,36.0,8.0,"['because', 'it', 'is', 'the', 'right', 'thing', 'to', 'do']","['because', 'it', 'is', 'the', 'right', 'thing', 'to', 'do']","['becaus', 'it', 'is', 'the', 'right', 'thing', 'to', 'do']",because it is the right thing to do,becaus it is the right thing to do,0,-0.04081457686781032,-0.02893707595407705,0,-0.11361631797358386,-0.20863175204646475,0,-0.11361631797358386,-0.20863175204646475
6,I donated because I hope this small amount helps the family financially in the medical needs of the child.,SGD,5000,106.0,19.0,"['i', 'donated', 'because', 'i', 'hope', 'this', 'small', 'amount', 'helps', 'the', 'family', 'financially', 'in', 'the', 'medical', 'needs', 'of', 'the', 'child']","['i', 'donated', 'because', 'i', 'hope', 'this', 'small', 'amount', 'help', 'the', 'family', 'financially', 'in', 'the', 'medical', 'need', 'of', 'the', 'child']","['i', 'donat', 'becaus', 'i', 'hope', 'thi', 'small', 'amount', 'help', 'the', 'famili', 'financi', 'in', 'the', 'medic', 'need', 'of', 'the', 'child']",i donated because i hope this small amount help the family financially in the medical need of the child,i donat becaus i hope thi small amount help the famili financi in the medic need of the child,2,-0.1016312566466365,-0.10383664022714355,0,-0.2964166054627713,0.08126056299620853,0,-0.2964166054627713,0.08126056299620853
8,"There should never be a reason needed, to help others.",SGD,2000,54.0,10.0,"['there', 'should', 'never', 'be', 'a', 'reason', 'needed', 'to', 'help', 'others']","['there', 'should', 'never', 'be', 'a', 'reason', 'needed', 'to', 'help', 'others']","['there', 'should', 'never', 'be', 'a', 'reason', 'need', 'to', 'help', 'other']",there should never be a reason needed to help others,there should never be a reason need to help other,0,-0.0692936967401172,-0.055190933297495484,0,-0.1494241692454347,-0.2301173779458598,0,-0.1494241692454347,-0.2301173779458598
9,"I just wanna help people to get a better life !!
NAM MO DUOC SU LUU LY QUANG VUONG PHAT !!
Tayata Om Bekandze Bekandze, Maha Bekandze, Radza Samudgate Soha !!!",VND,250000,159.0,29.0,"['i', 'just', 'wanna', 'help', 'people', 'to', 'get', 'a', 'better', 'life', 'nam', 'mo', 'duoc', 'su', 'luu', 'ly', 'quang', 'vuong', 'phat', 'tayata', 'om', 'bekandze', 'bekandze', 'maha', 'bekandze', 'radza', 'samudgate', 'soha']","['i', 'just', 'wanna', 'help', 'people', 'to', 'get', 'a', 'better', 'life', 'nam', 'mo', 'duoc', 'su', 'luu', 'ly', 'quang', 'vuong', 'phat', 'tayata', 'om', 'bekandze', 'bekandze', 'maha', 'bekandze', 'radza', 'samudgate', 'soha']","['i', 'just', 'wanna', 'help', 'peopl', 'to', 'get', 'a', 'better', 'life', 'nam', 'mo', 'duoc', 'su', 'luu', 'ly', 'quang', 'vuong', 'phat', 'tayata', 'om', 'bekandz', 'bekandz', 'maha', 'bekandz', 'radza', 'samudg', 'soha']",i just wanna help people to get a better life nam mo duoc su luu ly quang vuong phat tayata om bekandze bekandze maha bekandze radza samudgate soha,i just wanna help peopl to get a better life nam mo duoc su luu ly quang vuong phat tayata om bekandz bekandz maha bekandz radza samudg soha,2,0.1654957812000091,-0.12877175654930798,0,0.4610247836366966,-0.24284441420072958,0,0.4610247836366966,-0.24284441420072958
10,"Sharing is caring, hope everything will be fine for Myanmar people!",SGD,5000,67.0,11.0,"['sharing', 'is', 'caring', 'hope', 'everything', 'will', 'be', 'fine', 'for', 'myanmar', 'people']","['sharing', 'is', 'caring', 'hope', 'everything', 'will', 'be', 'fine', 'for', 'myanmar', 'people']","['share', 'is', 'care', 'hope', 'everyth', 'will', 'be', 'fine', 'for', 'myanmar', 'peopl']",sharing is caring hope everything will be fine for myanmar people,share is care hope everyth will be fine for myanmar peopl,2,-0.0758644956403268,-0.09056957606669071,0,-0.16039111240358045,-0.25622423407090095,0,-0.16039111240358045,-0.25622423407090095
11,I donated because every child deserves to lead a normal life,SGD,1000,60.0,11.0,"['i', 'donated', 'because', 'every', 'child', 'deserves', 'to', 'lead', 'a', 'normal', 'life']","['i', 'donated', 'because', 'every', 'child', 'deserves', 'to', 'lead', 'a', 'normal', 'life']","['i', 'donat', 'becaus', 'everi', 'child', 'deserv', 'to', 'lead', 'a', 'normal', 'life']",i donated because every child deserves to lead a normal life,i donat becaus everi child deserv to lead a normal life,0,-0.057192606247886,-0.05685446500144057,0,-0.12123683644197324,-0.17367559542775535,0,-0.12123683644197324,-0.17367559542775535
12,Doing what I can to help,SGD,10000,24.0,6.0,"['doing', 'what', 'i', 'can', 'to', 'help']","['doing', 'what', 'i', 'can', 'to', 'help']","['do', 'what', 'i', 'can', 'to', 'help']",doing what i can to help,do what i can to help,0,-0.03731340525798722,-0.01937314478888192,0,-0.11088799687211007,-0.21522336475909584,0,-0.11088799687211007,-0.21522336475909584
